0|0|15|50|79|100|"Wet"|"266315002"|"169468813"
0|0|15|50|79|100|"Wet"|"266315026"|"169468822"
45|55|90|50|66|100|"Wet"|"266315013"|"169468818"
0|0|15|50|79|100|"Wet"|"266314656"|"169468704"
0|0|0|200|200|200|"Wet"|"266314512"|"169468656"
40|45|60|200|200|200|"Wet"|"266314770"|"169468743"
45|65|90|50|89|100|"Wet"|"266314485"|"169468644"
0|0|15|50|79|100|"Wet"|"266314593"|"169468680"
0|0|15|50|79|100|"Wet"|"266315150"|"169468867"
0|0|15|50|79|100|"Wet"|"266314718"|"169468726"
45|65|90|50|89|100|"Wet"|"266314473"|"169468641"
45|65|90|50|89|100|"Wet"|"266314896"|"169468781"
0|0|15|50|79|100|"Wet"|"266314682"|"169468714"
40|45|60|200|200|200|"Wet"|"266315057"|"169468835"
40|45|60|200|200|200|"Wet"|"266314700"|"169468718"
0|0|15|50|79|100|"Wet"|"266315172"|"169468875"
45|65|90|50|89|100|"Wet"|"266315160"|"169468871"
0|0|15|50|79|100|"Wet"|"266314833"|"169468758"
45|65|90|50|89|100|"Wet"|"266314941"|"169468794"
45|65|90|50|89|100|"Wet"|"266315181"|"169468878"
0|0|15|50|79|100|"Wet"|"266315171"|"169468874"
0|0|15|50|79|100|"Wet"|"266315170"|"169468873"
45|65|90|50|89|100|"Wet"|"266314474"|"169468642"
40|45|60|200|200|200|"Wet"|"266314917"|"169468785"
0|0|0|200|200|200|"Wet"|"266314453"|"169468633"
40|45|60|200|200|200|"Wet"|"266314630"|"169468699"
45|65|90|50|89|100|"Wet"|"266315182"|"169468879"
40|45|60|200|200|200|"Wet"|"266314781"|"169468748"
0|0|15|50|79|100|"Wet"|"266315112"|"169468851"
45|65|90|50|89|100|"Wet"|"266314893"|"169468779"
0|0|15|50|79|100|"Wet"|"266315001"|"169468812"
0|0|15|50|79|100|"Wet"|"266315111"|"169468850"
40|45|60|200|200|200|"Wet"|"266314558"|"169468675"
45|65|90|50|89|100|"Wet"|"266315100"|"169468847"
45|65|90|50|89|100|"Wet"|"266315038"|"169468828"
0|0|0|200|200|200|"Wet"|"266314442"|"169468622"
45|65|90|50|89|100|"Wet"|"266314990"|"169468810"
0|0|15|50|79|100|"Wet"|"266315027"|"169468823"
0|0|15|50|79|100|"Wet"|"266314766"|"169468741"
40|45|60|200|200|200|"Wet"|"266314915"|"169468783"
0|0|0|200|200|200|"Wet"|"266314516"|"169468660"
0|0|15|50|79|100|"Wet"|"266314684"|"169468715"
40|45|60|200|200|200|"Wet"|"266314821"|"169468755"
0|0|15|50|79|100|"Wet"|"266315122"|"169468855"
0|0|15|50|79|100|"Wet"|"266315075"|"169468838"
0|0|15|50|79|100|"Wet"|"266315126"|"169468858"
0|0|0|200|200|200|"Wet"|"266314457"|"169468637"
45|65|90|50|89|100|"Wet"|"266315085"|"169468842"
45|55|90|50|66|100|"Wet"|"266314464"|"169468640"
0|0|15|50|79|100|"Wet"|"266315152"|"169468868"
0|0|15|50|79|100|"Wet"|"266315074"|"169468837"
40|45|60|200|200|200|"Wet"|"266315048"|"169468832"
0|0|0|200|200|200|"Wet"|"266314506"|"169468650"
45|55|90|50|66|100|"Wet"|"266315016"|"169468820"
0|0|0|200|200|200|"Wet"|"266314446"|"169468626"
45|65|90|50|89|100|"Wet"|"266314725"|"169468728"
0|0|15|50|79|100|"Wet"|"266314714"|"169468723"
0|0|15|50|79|100|"Wet"|"266315116"|"169468853"
40|45|60|200|200|200|"Wet"|"266314557"|"169468674"
0|0|15|50|79|100|"Wet"|"266314716"|"169468725"
0|0|15|50|79|100|"Wet"|"266314871"|"169468775"
0|0|15|50|79|100|"Wet"|"266314979"|"169468805"
40|45|60|200|200|200|"Wet"|"266314819"|"169468753"
45|65|90|50|89|100|"Wet"|"266315037"|"169468827"
0|0|15|50|79|100|"Wet"|"266314600"|"169468685"
45|65|90|50|89|100|"Wet"|"266314797"|"169468749"
0|0|15|50|79|100|"Wet"|"266314840"|"169468763"
45|65|90|50|89|100|"Wet"|"266314968"|"169468802"
45|55|90|50|66|100|"Wet"|"266314461"|"169468638"
0|0|0|200|200|200|"Wet"|"266314517"|"169468661"
45|65|90|50|89|100|"Wet"|"266314546"|"169468669"
0|0|0|200|200|200|"Wet"|"266314435"|"169468615"
40|45|60|200|200|200|"Wet"|"266314757"|"169468736"
0|0|0|200|200|200|"Wet"|"266314449"|"169468629"
0|0|0|200|200|200|"Wet"|"266314439"|"169468619"
45|65|90|50|89|100|"Wet"|"266314942"|"169468795"
45|65|90|50|89|100|"Wet"|"266314486"|"169468645"
45|65|90|50|89|100|"Wet"|"266314620"|"169468694"
0|0|15|50|79|100|"Wet"|"266314535"|"169468664"
0|0|15|50|79|100|"Wet"|"266314931"|"169468790"
0|0|15|50|79|100|"Wet"|"266315174"|"169468876"
0|0|15|50|79|100|"Wet"|"266314653"|"169468701"
40|45|60|200|200|200|"Wet"|"266314746"|"169468731"
0|0|0|200|200|200|"Wet"|"266314515"|"169468659"
45|55|90|50|66|100|"Wet"|"266314953"|"169468797"
0|0|15|50|79|100|"Wet"|"266315148"|"169468866"
40|45|60|200|200|200|"Wet"|"266314747"|"169468732"
0|0|15|50|79|100|"Wet"|"266315078"|"169468840"
40|45|60|200|200|200|"Wet"|"266314914"|"169468782"
0|0|15|50|79|100|"Wet"|"266314872"|"169468776"
0|0|15|50|79|100|"Wet"|"266314598"|"169468684"
45|65|90|50|89|100|"Wet"|"266314476"|"169468643"
40|45|60|200|200|200|"Wet"|"266314820"|"169468754"
0|0|15|50|79|100|"Wet"|"266314768"|"169468742"
0|0|0|200|200|200|"Wet"|"266314434"|"169468614"
0|0|0|200|200|200|"Wet"|"266314445"|"169468625"
40|45|60|200|200|200|"Wet"|"266315049"|"169468833"
45|65|90|50|89|100|"Wet"|"266315086"|"169468843"
0|0|0|200|200|200|"Wet"|"266314450"|"169468630"
45|65|90|50|89|100|"Wet"|"266314548"|"169468670"
0|0|15|50|79|100|"Wet"|"266314537"|"169468665"
