"Fine sandy loam"||"153962369"|"156592398"
"Coarse sandy loam"||"153962326"|"156592515"
"Sandy loam"||"153961796"|"156592583"
"Sandy loam"||"153962506"|"156592691"
"Loam"||"153962553"|"156593016"
"Sandy loam"||"153961833"|"156592705"
"Silt loam"||"153962635"|"156593050"
"Sandy loam"||"153961888"|"156592454"
"Clay loam"||"153962579"|"156593261"
"Coarse sandy loam"||"153962136"|"156593099"
"Loam"||"153961770"|"156592441"
"Sandy loam"||"153962380"|"156592669"
"Sandy loam"||"153962532"|"156593243"
"Loamy sand"||"153961979"|"156593072"
"Clay loam"||"153962000"|"156593305"
"Silty clay loam"||"153961851"|"156592827"
"Clay loam"||"153962295"|"156592647"
"Silty clay loam"||"153962210"|"156592503"
"Loam"||"153962495"|"156592429"
"Loam"||"153962587"|"156593145"
"Silt loam"||"153962282"|"156592653"
"Sandy loam"||"153962727"|"156592940"
"Loam"||"153962219"|"156592638"
"Sandy loam"||"153961925"|"156592604"
"Loam"||"153962052"|"156593206"
"Clay loam"||"153962230"|"156592498"
"Clay loam"||"153962040"|"156593089"
"Loam"||"153962011"|"156592961"
"Sandy loam"||"153962273"|"156592369"
"Loam"||"153962178"|"156593115"
|"Moderately decomposed plant material"|"153962092"|"156593104"
"Sandy loam"||"153962157"|"156592994"
"Loam"||"153961998"|"156593191"
"Sandy loam"||"153962022"|"156592479"
"Sandy loam"||"153962447"|"156592681"
"Coarse sandy loam"||"153962149"|"156593213"
"Coarse sand"||"153962241"|"156592490"
"Loamy sand"||"153961946"|"156592597"
"Silty clay loam"||"153962103"|"156593100"
"Coarse sandy loam"||"153962621"|"156593140"
"Loam"||"153962517"|"156592824"
"Loam"||"153961959"|"156592605"
"Silty clay loam"||"153962454"|"156592820"
"Loam"||"153962480"|"156593120"
"Loam"||"153962356"|"156592663"
"Loam"||"153961881"|"156592724"
"Loam"||"153961907"|"156592593"
"Sandy loam"||"153962199"|"156593225"
"Loam"||"153962576"|"156593026"
"Silty clay loam"||"153962114"|"156593221"
"Clay loam"||"153962595"|"156592919"
"Sand"||"153961740"|"156592883"
"Sandy loam"||"153961918"|"156592471"
"Silt loam"||"153962367"|"156592794"
"Fine sandy loam"||"153962436"|"156592678"
"Silt loam"||"153962053"|"156592976"
"Coarse sandy loam"||"153962679"|"156593270"
"Fine sandy loam"||"153962410"|"156592666"
"Sandy loam"||"153961792"|"156592723"
"Silty clay"||"153962642"|"156593159"
"Coarse sandy loam"||"153962384"|"156592800"
"Sandy loam"||"153962528"|"156593131"
"Silty clay loam"||"153962473"|"156593118"
"Sandy loam"||"153962668"|"156592930"
"Sandy loam"||"153961782"|"156592718"
"Sandy loam"||"153962539"|"156593019"
"Sandy loam"||"153961756"|"156592841"
"Coarse sand"||"153961745"|"156592751"
"Loam"||"153962632"|"156593051"
"Loam"||"153962188"|"156593234"
"Loam"||"153962261"|"156592360"
"Coarse sandy loam"||"153962631"|"156592915"
"Coarse sandy loam"||"153962262"|"156592760"
|"Slightly decomposed plant material"|"153961957"|"156593295"
"Loam"||"153962366"|"156592393"
"Coarse sandy loam"||"153962138"|"156592985"
"Clay loam"||"153962357"|"156592791"
"Sandy loam"||"153962465"|"156592808"
"Coarse sand"||"153961803"|"156592838"
"Coarse sandy loam"||"153961751"|"156592843"
"Sandy loam"||"153962009"|"156593190"
"Loam"||"153962345"|"156592386"
"Loam"||"153962590"|"156593036"
"Coarse sand"||"153962125"|"156593095"
"Silt loam"||"153962705"|"156593063"
"Clay loam"||"153962399"|"156592402"
"Silt loam"||"153962168"|"156592488"
"Silty clay loam"||"153962031"|"156593309"
"Loam"||"153961970"|"156592743"
"Sandy loam"||"153961755"|"156592716"
"Coarse sandy loam"||"153962335"|"156592389"
"Fine sandy loam"||"153962731"|"156593284"
"Coarse sandy loam"||"153962627"|"156593033"
"Sandy loam"||"153962606"|"156593029"
"Silty clay loam"||"153962116"|"156593222"
"Silt loam"||"153962572"|"156592903"
"Loam"||"153961903"|"156592459"
"Silt loam"||"153962189"|"156593004"
"Sandy loam"||"153961767"|"156592573"
"Sandy loam"||"153962664"|"156593152"
"Clay loam"||"153962594"|"156593146"
"Clay loam"||"153962565"|"156593245"
"Loam"||"153962042"|"156593090"
|"Slightly decomposed plant material"|"153962491"|"156592830"
"Silt loam"||"153961892"|"156592460"
"Coarse sandy loam"||"153961777"|"156592446"
"Loam"||"153961825"|"156592476"
"Sandy loam"||"153962554"|"156593017"
"Loamy sand"||"153962251"|"156592493"
"Loamy sand"||"153961866"|"156592855"
"Coarse sand"||"153962240"|"156592759"
"Loamy sand"||"153962127"|"156592979"
"Coarse sandy loam"||"153961840"|"156592836"
"Coarse sandy loam"||"153961929"|"156592869"
"Loam"||"153961788"|"156592719"
"Silty clay loam"||"153962029"|"156593195"
"Coarse sandy loam"||"153962617"|"156593259"
"Coarse sandy loam"||"153962373"|"156592531"
"Silt loam"||"153962458"|"156592417"
"Loamy sand"||"153962272"|"156592772"
"Sandy loam"||"153962502"|"156592563"
|"Slightly decomposed plant material"|"153961814"|"156592423"
"Clay loam"||"153962179"|"156593230"
"Silt loam"||"153961937"|"156593296"
"Clay loam"||"153962421"|"156592818"
"Loam"||"153962051"|"156593205"
"Coarse sandy loam"||"153962346"|"156592517"
"Loamy sand"||"153962156"|"156593223"
"Loam"||"153962145"|"156593328"
"Loam"||"153962605"|"156593028"
"Sandy loam"||"153962325"|"156592656"
"Silt loam"||"153962033"|"156593311"
"Silt loam"||"153962293"|"156592511"
"Coarse sand"||"153961948"|"156592599"
"Coarse sand"||"153961741"|"156592885"
"Silty clay loam"||"153962167"|"156592354"
|"Moderately decomposed plant material"|"153962583"|"156593148"
|"Moderately decomposed plant material"|"153962653"|"156593149"
"Coarse sandy loam"||"153962252"|"156592494"
"Loam"||"153962064"|"156592968"
"Loamy sand"||"153962020"|"156592953"
"Coarse sandy loam"||"153961766"|"156592840"
"Silty clay loam"||"153962283"|"156592382"
"Fine sandy loam"||"153962616"|"156593258"
"Silty clay loam"||"153961913"|"156592863"
|"Moderately decomposed plant material"|"153962430"|"156592687"
"Silty clay loam"||"153962277"|"156592783"
"Clay loam"||"153962472"|"156592483"
"Loamy sand"||"153962314"|"156592507"
|"Moderately decomposed plant material"|"153962034"|"156593322"
"Loam"||"153962630"|"156593142"
"Silt loam"||"153962211"|"156592367"
"Sandy loam"||"153961971"|"156592473"
"Sandy loam"||"153962144"|"156593214"
|"Moderately decomposed plant material"|"153962691"|"156593291"
"Loam"||"153962362"|"156592391"
"Loam"||"153961815"|"156592555"
"Loam"||"153962174"|"156593003"
"Coarse sandy loam"||"153962071"|"156592970"
"Loam"||"153962546"|"156593240"
"Sandy loam"||"153962662"|"156593151"
"Sandy loam"||"153961773"|"156592450"
"Loamy sand"||"153962534"|"156592898"
"Silty clay loam"||"153962281"|"156592381"
"Coarse sand"||"153961804"|"156592710"
"Loam"||"153962229"|"156592496"
"Coarse sand"||"153962075"|"156593082"
|"Slightly decomposed plant material"|"153962638"|"156593163"
"Clay loam"||"153962108"|"156593335"
|"Moderately decomposed plant material"|"153961889"|"156592595"
"Coarse sand"||"153962023"|"156592750"
"Silty clay loam"||"153961856"|"156592422"
"Loam"||"153962704"|"156593062"
|"Mucky peat"|"153961797"|"156592746"
"Loam"||"153961765"|"156592839"
"Clay loam"||"153962649"|"156593160"
"Loam"||"153962096"|"156593218"
"Silty clay loam"||"153961911"|"156592735"
"Loamy sand"||"153962461"|"156592486"
"Loam"||"153961786"|"156592847"
"Fine sandy loam"||"153961762"|"156592715"
"Loam"||"153962440"|"156592811"
"Sandy loam"||"153962133"|"156593096"
"Loam"||"153962388"|"156592675"
"Loam"||"153962303"|"156592513"
"Loam"||"153962200"|"156592997"
"Clay loam"||"153961902"|"156592730"
"Silt loam"||"153962419"|"156592816"
"Loam"||"153962556"|"156592896"
"Silt loam"||"153962651"|"156593161"
"Fine sandy loam"||"153961878"|"156592588"
"Sandy loam"||"153962049"|"156592973"
"Clay loam"||"153962693"|"156592944"
"Coarse sandy loam"||"153962535"|"156593128"
|"Slightly decomposed plant material"|"153962237"|"156592627"
"Fine sandy loam"||"153962134"|"156593097"
"Sandy loam"||"153962377"|"156592527"
"Silt loam"||"153961997"|"156592960"
|"Slightly decomposed plant material"|"153961945"|"156592467"
"Loam"||"153962680"|"156593271"
"Loam"||"153962340"|"156592787"
"Sandy loam"||"153962523"|"156592754"
"Clay loam"||"153962097"|"156592989"
"Sandy loam"||"153962610"|"156592910"
"Coarse sandy loam"||"153962060"|"156593201"
"Sandy loam"||"153962329"|"156592655"
"Clay loam"||"153961828"|"156592609"
"Sandy loam"||"153962244"|"156592625"
"Silty clay loam"||"153962118"|"156593336"
"Coarse sand"||"153962159"|"156592621"
"Silt loam"||"153962086"|"156593207"
"Sandy loam"||"153961933"|"156592600"
"Silt loam"||"153962451"|"156592688"
"Sandy loam"||"153961867"|"156592856"
"Silty clay loam"||"153962112"|"156593107"
"Sandy loam"||"153962255"|"156592761"
